"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)","Ch-2 (Hz)"
394.420605943764,0,4.26571655273437
403.701725859654,0,21.3110198974609
413.201240011532,0,38.752799987793
422.924287438948,0,56.599365234375
432.876128108304,0,74.8705139160156
443.062145758386,0,93.5763854980469
453.487850812856,0,112.705909729004
464.158883361276,0,132.316467285156
475.081016210278,0,152.383636474609
486.260158006533,0,172.877014160156
497.702356433209,0,-166.108673095703
509.413801481636,0,-144.618041992187
521.400828799966,0,-122.625419616699
533.669923120628,0,-100.068298339844
546.227721768431,0,-77.0188980102539
559.08101825122,0,-53.4227905273438
572.236765935019,0,-29.2768707275391
585.702081805664,0,-4.55651092529297
599.484250318938,0,20.7505493164063
613.590727341314,0,46.6469116210938
628.029144183422,0,73.1769714355469
642.807311728429,0,100.295394897461
657.933224657564,0,128.072601318359
673.415065775078,0,156.449645996094
689.261210434966,0,-174.434478759766
705.48023107186,0,-144.649597167969
722.080901838542,0,-114.178451538086
739.072203352574,0,-83.0193634033203
756.463327554624,0,-51.0547943115234
774.263682681123,0,-18.3925170898437
792.482898353913,0,15.0619354248047
811.130830789682,0,49.2954368591309
830.21756813197,0,84.2846374511719
849.753435908639,0,120.16975402832
869.749002617778,0,156.853637695312
890.215085445033,0,-165.547241210937
911.162756115483,0,-127.100692749023
932.603346883214,0,-87.8110275268555
954.548456661828,0,-47.3023948669434
977.009957299219,0,-6.04607391357422
999.999999999993,0,36.1059684753418

